"","Source","ParticipantID","Study_ID","ID","z_long_string","z_irv","z_psychsyn","z_evenodd","Exclude"
"143","CPC","CP0146","CP0146","QT231",0.00955311751196184,-1.21542440344651,-1.29825755335368,-0.674605796512283,0
"144","CPC","CP0147 / CP0217","CP0147 / CP0217","QT232",-0.591329209662582,0.0259792951697109,0.556652020856985,1.55411930188135,0
"145","CPC","CP0148","CP0148","QT234",-0.29088804607531,0.146328933138279,-0.594493358667076,-0.705157985796484,0
"146","CPC","CP0149","CP0149","QT235",-0.741549791456218,0.649985604880764,-0.34144712111579,-0.452756278742961,0
"147","CPC","CP0150","CP0150","QT236",-0.140667464281674,0.961837426164963,0.697628037677159,1.33539846942226,0
"148","CPC","CP0151","CP0151","QT237",-0.140667464281674,-0.810074615914035,0.058109427644345,1.44125237246681,0
"149","CPC","CP0152","CP0152","QT238",0.159773699305598,0.587604445742426,1.03685206579129,-0.864732255520386,0
"150","CPC","CP0153","CP0153","QT239",-0.29088804607531,0.65441303204984,-0.421308676383368,1.08684223094254,0
"151","CPC","CP0154","CP0154","QT240",0.159773699305598,0.919872034093131,0.989336674188633,-0.921374256171297,0
"152","CPC","CP0155","CP0155","QT241",0.309994281099234,1.77869116467191,0.204635238003033,0.592099191127456,0
"153","CPC","CP0156","CP0156","QT242",-0.29088804607531,-0.720593470858618,1.29805613549685,1.54175150864396,0
"154","CPC","CP0157","CP0157","QT243",-0.29088804607531,-0.24730393802187,-0.723171471030216,-0.864026348272271,0
"155","CPC","CP0158","CP0158","QT244",0.46021486289287,1.18218043330698,-2.51395806127338,-0.947884317767187,1
"156","CPC","CP0159","CP0159","QT246",-0.29088804607531,-0.0385723749974949,1.71185548320618,-0.98360459144192,0
"157","CPC","CP0160","CP0160","QT247",0.159773699305598,1.02833060343017,1.22228453483438,-0.308530171793575,0
"158","CPC","CP0162","CP0162","QT248",-0.29088804607531,-0.0372978670503806,0.886271858531441,0.394366058703023,0
